1,Bloomsbury Publishing
2,Editorial Planeta
3,Longmans\, Green & Co.
4,Editorial Sudamericana
5,J.B. Lippincott & Co.
6,T. Egerton\, Whitehall
7,Juan de la Cuesta
8,George Allen & Unwin
9,Prentice Hall
10,Kurt Wolff Verlag
11,DAW Books
12,A. Lacroix\, Verboeckhoven & Cie
13,Secker & Warburg
14,Alianza Editorial
15,HarperCollins
16,Charles Scribners Sons
17,Cassell & Co.
18,Doubleday
19,Archibald Constable and Company
20,Reynal & Hitchcock
21,W. Taylor
22,Pierre-Jules Hetzel
23,Ward\, Lock and Co.
24,Lackington\, Hughes\, Harding\, Mavor & Jones
25,Robert Brothers
26,O'Reilly Media
27,The Russian Messenger
28,No Starch Press
29,Seix Barral
30,Iberica
31,Richard Bentley
32,George Newnes Ltd
33,Editorial Oveja Negra
34,Plaza & Janés
35,Editorial La Oveja Negra
